ephi_pca.sample.id	pop1	EV1	EV2
GAAB092437-EPHI-622I-1	Abol	0.0420515667193355	-0.00519708727882534
GAAB092436-EPHI-622I-1	Abol	0.0728510430729565	-0.0155717005164932
GAAB092434-EPHI-622I-1	Abol	0.069276253371236	-0.0100317572831197
GAAB092433-EPHI-622I-1	Abol	0.0509011708240105	0.00351368126123908
GAAB092429-EPHI-622I-1	Abol	0.0863866888445404	-0.0129520579084458
GAAB092428-EPHI-622I-1	Abol	0.0693791797563136	-0.033728699491662
GAAB092424-EPHI-622I-1	Abol	0.0482224900695572	-0.0116518189688545
GAAB092495-EPHI-622I-1	Abol	0.0727639870794432	-0.0109571885074071
GAAB092419-EPHI-622I-1	Abol	0.0907206874964309	-0.00701120874388115
GAAB092418-EPHI-622I-1	Abol	0.053214452522331	-0.00561036918552316
GAAB092417-EPHI-622I-1	Abol	0.0849148465534279	-0.0188271429032946
ORAS040020-EPHI-622I-1	Asendabo	-0.0293494632202261	-0.0182189217999014
GAAB092416-EPHI-622I-1	Abol	0.0319149806815293	0.0122653864230688
GAAB092415-EPHI-622I-1	Abol	0.0912133645659039	-0.0184535743126054
ORME040653-EPHI-622I-1	Metehara	-0.0278932035141634	-0.0217798989056978
GAAB092410-EPHI-622I-1	Abol	0.0948082134702911	-0.0286494472191511
GAAB092407-EPHI-622I-1	Abol	0.0620881786553861	-0.0255295947033465
GAAB092405-EPHI-622I-1	Abol	0.0929594898597226	-0.0477708137994198
SNSE072137-EPHI-622I-1	Secha	0.00167556953146027	-0.00232872300662634
GAAB092403-EPHI-622I-1	Abol	0.0657254787772549	-0.00842298018094316
ORAS040001-EPHI-622I-1	Asendabo	-0.0149770821132114	0.0102093939246352
GAAB092402-EPHI-622I-1	Abol	0.0796331064478087	-0.0200609626584325
GAAB092409-EPHI-622I-1	Abol	0.0637733598409942	-0.00332499081322648
ETMT570-EPHI-622I-1	Metehara	-0.00773926074597347	-0.0251855678020195
ETMT569-EPHI-622I-1	Metehara	-0.0062768716279889	0.0125073771711796
ETMT559-EPHI-622I-1	Metehara	-0.0299538162281732	-0.0351580396623501
SOER052755-EPHI-622I-1	Erer	-0.0015840941294509	-0.0121804640007197
ETMT558-EPHI-622I-1	Metehara	0.0307827053876562	0.0371968579173277
